w,h,stan_posx,stan_posy,pro_posx,pro_posy,ori_st,ori_pr
3.89,3.89,6.75,2.7,-6.75,-2.7,0,0
3.89,3.89,6.75,2.7,-6.75,-2.7,180,180
3.89,3.89,6.75,2.7,-6.75,-2.7,0,180
3.89,3.89,6.75,2.7,-6.75,-2.7,180,0
3.89,3.89,6.75,-2.7,-6.75,2.7,0,0
3.89,3.89,6.75,-2.7,-6.75,2.7,180,180
3.89,3.89,6.75,-2.7,-6.75,2.7,0,180
3.89,3.89,6.75,-2.7,-6.75,2.7,180,0
3.89,3.89,-6.75,2.7,6.75,-2.7,0,0
3.89,3.89,-6.75,2.7,6.75,-2.7,180,180
3.89,3.89,-6.75,2.7,6.75,-2.7,0,180
3.89,3.89,-6.75,2.7,6.75,-2.7,180,0
3.89,3.89,-6.75,-2.7,6.75,2.7,0,0
3.89,3.89,-6.75,-2.7,6.75,2.7,180,180
3.89,3.89,-6.75,-2.7,6.75,2.7,0,180
3.89,3.89,-6.75,-2.7,6.75,2.7,180,0
9.07,9.07,6.75,2.7,-6.75,-2.7,0,0
9.07,9.07,6.75,2.7,-6.75,-2.7,180,180
9.07,9.07,6.75,2.7,-6.75,-2.7,0,180
9.07,9.07,6.75,2.7,-6.75,-2.7,180,0
9.07,9.07,6.75,-2.7,-6.75,2.7,0,0
9.07,9.07,6.75,-2.7,-6.75,2.7,180,180
9.07,9.07,6.75,-2.7,-6.75,2.7,0,180
9.07,9.07,6.75,-2.7,-6.75,2.7,180,0
9.07,9.07,-6.75,2.7,6.75,-2.7,0,0
9.07,9.07,-6.75,2.7,6.75,-2.7,180,180
9.07,9.07,-6.75,2.7,6.75,-2.7,0,180
9.07,9.07,-6.75,2.7,6.75,-2.7,180,0
9.07,9.07,-6.75,-2.7,6.75,2.7,0,0
9.07,9.07,-6.75,-2.7,6.75,2.7,180,180
9.07,9.07,-6.75,-2.7,6.75,2.7,0,180
9.07,9.07,-6.75,-2.7,6.75,2.7,180,0
